SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KLGSYSTEL,BE,17.25,17.25,16.75,16.95,16.8,17.3,1913,32725.05,05-SEP-2012,15,INE799A01019,
KMSUGAR,EQ,2.4,2.4,2.3,2.3,2.3,2.45,15891,37432.95,05-SEP-2012,26,INE157H01023,
KNRCON,EQ,112.9,112.9,104.55,110.55,112,112.5,2617,288321.25,05-SEP-2012,178,INE634I01011,
KOHINOOR,EQ,29.6,30.55,29.2,29.6,29.35,29.8,62460,1858968.55,05-SEP-2012,633,INE080B01012,
KOKUYOCMLN,EQ,33.85,34.35,33.65,33.75,33.85,33.55,12516,424982.75,05-SEP-2012,77,INE760A01029,
KOLTEPATIL,EQ,38.1,39.45,38.1,39.15,39.45,38.5,23159,897654.05,05-SEP-2012,159,INE094I01018,
KOPDRUGS,EQ,3.35,3.35,3.2,3.35,3.35,3.35,860,2816,05-SEP-2012,5,INE746A01010,
KOPRAN,EQ,16.5,16.55,16.3,16.3,16.3,16.35,9743,159852,05-SEP-2012,66,INE082A01010,
KOTAKBANK,EQ,571.8,571.8,562.95,569.05,570.2,572.85,418057,237098189.5,05-SEP-2012,12750,INE237A01028,
KOTAKGOLD,EQ,3010,3013.85,2993,3008.5,3010,2986.4,8333,25052244.05,05-SEP-2012,714,INF373I01015,
KOTAKNIFTY,EQ,531,531,526,528.08,526,531,473,250972.35,05-SEP-2012,19,INF174K01518,
KOTAKPSUBK,EQ,299,305.05,298,304.41,304.99,298,259,78289.31,05-SEP-2012,26,INF373I01023,
KOTARISUG,EQ,8.5,8.75,8.5,8.6,8.6,8.55,6861,59153.75,05-SEP-2012,16,INE419A01022,
KOTHARIPET,EQ,8.4,8.85,8.2,8.7,8.8,7.9,54464,464937.1,05-SEP-2012,84,INE720A01015,
KOTHARIPRO,EQ,420,420,412.05,416.35,412.35,415.25,129,53816.3,05-SEP-2012,28,INE823A01017,
KOUTONS,BE,6.25,6.5,6.2,6.25,6.2,6.25,26974,171904.8,05-SEP-2012,112,INE406I01014,
KPIT,EQ,129.5,132.4,127.9,128.5,128.95,130.2,130036,16909161,05-SEP-2012,2460,INE836A01035,
KPRMILL,EQ,122,127,122,126.3,127,126.1,3640,456121,05-SEP-2012,45,INE930H01015,
KRBL,EQ,22.3,22.75,22.2,22.55,22.6,22.35,158742,3575919.7,05-SEP-2012,479,INE001B01026,
KRISHNAENG,BE,1.6,1.6,1.6,1.6,1.6,1.6,107,171.2,05-SEP-2012,2,INE409C01011,
KRITIIND,EQ,6,6,6,6,6,5.6,1100,6600,05-SEP-2012,2,INE479D01038,
KSBPUMPS,EQ,205,208,204.25,207.3,207,205.5,2046,423179.55,05-SEP-2012,57,INE999A01015,
KSCL,EQ,860,875,850,863.8,862.05,855.75,11305,9813187.45,05-SEP-2012,795,INE455I01011,
KSE,EQ,224.45,224.45,220.1,220.1,220.1,216.75,1307,291695,05-SEP-2012,55,INE953E01014,
KSERASERA,BE,2.85,2.9,2.8,2.85,2.85,2.85,5210,14884,05-SEP-2012,17,INE216D01018,
KSK,EQ,58.55,64.05,58,64.05,64.05,58.25,121283,7601474.75,05-SEP-2012,984,INE143H01015,
KSL,EQ,55.9,55.9,53.15,54.35,54.4,54.45,57011,3073856,05-SEP-2012,798,INE907A01026,
KSOILS,EQ,4.4,4.55,4.4,4.4,4.45,4.45,952514,4247021.95,05-SEP-2012,991,INE727D01022,
KTIL,EQ,61.1,61.25,59.85,60.4,60.4,63.05,290,17585.5,05-SEP-2012,8,INE096L01017,
KTKBANK,EQ,82.4,83.3,82,82.3,82.1,83.5,486438,40179259.55,05-SEP-2012,6077,INE614B01018,
KWALITY,EQ,31.4,31.55,30.55,30.8,30.75,31.2,48210,1497505,05-SEP-2012,430,INE775B01025,
L&TFH,EQ,43.05,44.35,42.95,44,44,43.3,475783,20871149.7,05-SEP-2012,3196,INE498L01015,
L&TFINANCE,N1,1002,1006.9,1002,1003.04,1003.04,1003,535,536592.34,05-SEP-2012,10,INE523E07426,
L&TFINANCE,N2,1025,1031,1025,1028,1028,1027.01,376,387288,05-SEP-2012,7,INE523E07434,
L&TFINANCE,N3,1309,1310,1306.11,1306.11,1306.11,1309.9,265,346883.11,05-SEP-2012,9,INE523E07442,
L&TFINANCE,N4,1062,1070,1058,1062,1062,1060.2,1598,1695475.27,05-SEP-2012,43,INE523E07459,
L&TFINANCE,N5,986.1,986.1,986.1,986.1,986.1,984,125,123262.5,05-SEP-2012,6,INE523E07475,
L&TFINANCE,N6,1024.01,1024.15,1024,1024.15,1024.15,1033,65,66566.2,05-SEP-2012,5,INE523E07483,
LAKPRE,EQ,36,37.75,36,36.85,36.65,36.9,1777,65537.05,05-SEP-2012,20,INE651C01018,
LAKSHMIEFL,EQ,16.8,17,16.5,16.6,16.55,16.95,16993,282670.45,05-SEP-2012,149,INE992B01026,
LAKSHMIMIL,EQ,1510,1510,1509.95,1510,1510,1510,7,10569.95,05-SEP-2012,3,INE938C01019,
LAKSHVILAS,EQ,71.1,71.85,70,70.45,70.15,71.1,60210,4257308.25,05-SEP-2012,713,INE694C01018,
